estimator,position_rmse_m,position_mae_m,heading_rmse_rad,heading_mae_rad,final_position_error_m,final_heading_error_rad
dead_reckoning,1.73936,1.25410,0.11261,0.08941,4.34610,0.27106
ekf,0.02767,0.02430,0.01154,0.00882,0.02495,0.02551
