t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
1.3500,3.91211,3.32395,0.45006,3.91312,3.32521,0.44729,3.91337,3.32435,0.44705,2.738716e-03,2.586662e-03,1.117088e-04,1.14850,0.01589,0.44315,2,3.30275
1.4000,3.96334,3.34870,0.45505,3.96476,3.34998,0.45185,3.96500,3.34915,0.45166,2.747124e-03,2.593900e-03,1.105903e-04,1.14550,0.09125,0.45281,2,3.28663
1.4500,4.01445,3.37371,0.45965,4.01636,3.37502,0.45864,4.01660,3.37417,0.45844,2.755552e-03,2.601252e-03,1.095681e-04,1.14700,0.13579,0.45821,2,3.34765
1.5000,4.06547,3.39896,0.46388,4.06798,3.40051,0.46371,4.06823,3.39966,0.46353,2.763995e-03,2.608737e-03,1.086332e-04,1.15150,0.10144,0.46375,4,3.36916
1.5500,4.11638,3.42443,0.46778,4.11704,3.42504,0.46841,4.11731,3.42413,0.46816,2.772371e-03,2.615905e-03,1.077775e-04,1.09700,0.09397,0.46663,2,3.38579
1.6000,4.16721,3.45011,0.47137,4.16685,3.45024,0.47724,4.16722,3.44910,0.47671,2.780784e-03,2.623283e-03,1.069937e-04,1.11650,0.17664,0.47046,2,3.40533
1.6500,4.21795,3.47597,0.47468,4.21759,3.47648,0.47622,4.21806,3.47512,0.47545,2.789235e-03,2.630935e-03,1.062753e-04,1.14250,-0.02047,0.47005,2,3.46044
1.7000,4.26861,3.50201,0.47773,4.26819,3.50258,0.47951,4.26862,3.50130,0.47889,2.797712e-03,2.638604e-03,1.056166e-04,1.13850,0.06588,0.48225,3,3.46933
1.7500,4.31920,3.52820,0.48054,4.31756,3.52825,0.48076,4.31814,3.52663,0.47977,2.806158e-03,2.646126e-03,1.050121e-04,1.11300,0.02491,0.47142,3,3.49444
1.8000,4.36971,3.55453,0.48312,4.36763,3.55437,0.48677,4.36837,3.55238,0.48541,2.814652e-03,2.653818e-03,1.044573e-04,1.12950,0.12016,0.47694,4,3.52530
1.8500,4.42017,3.58100,0.48551,4.41801,3.58103,0.49040,4.41890,3.57871,0.48875,2.823168e-03,2.661646e-03,1.039477e-04,1.14000,0.07274,0.48192,2,3.55391
1.9000,4.47056,3.60759,0.48770,4.46816,3.60781,0.49347,4.46898,3.60568,0.49212,2.831689e-03,2.669493e-03,1.034796e-04,1.13700,0.06127,0.49926,2,3.55087
1.9500,4.52090,3.63429,0.48972,4.51836,3.63481,0.49483,4.51925,3.63253,0.49340,2.840226e-03,2.677404e-03,1.030493e-04,1.14000,0.02737,0.49129,2,3.62722
2.0000,4.57119,3.66109,0.49159,4.56879,3.66202,0.49537,4.56960,3.65992,0.49420,2.848790e-03,2.685397e-03,1.026537e-04,1.14600,0.01070,0.50045,3,3.63738
2.0500,4.62143,3.68799,0.49330,4.61880,3.68904,0.49335,4.61963,3.68692,0.49221,2.857352e-03,2.693344e-03,1.022899e-04,1.13700,-0.04049,0.49314,3,3.67137
2.1000,4.67162,3.71498,0.49488,4.66824,3.71562,0.49662,4.66896,3.71374,0.49580,2.865906e-03,2.701185e-03,1.019551e-04,1.12250,0.06549,0.50310,4,3.70505
2.1500,4.72177,3.74205,0.49634,4.71820,3.74270,0.50316,4.71884,3.74098,0.50256,2.874493e-03,2.709174e-03,1.016471e-04,1.13650,0.13071,0.50779,3,3.68393
2.2000,4.77189,3.76919,0.49768,4.76800,3.77011,0.50449,4.76876,3.76816,0.50367,2.883077e-03,2.717203e-03,1.013636e-04,1.13700,0.02666,0.49858,3,3.75319
2.2500,4.82197,3.79639,0.49892,4.81834,3.79790,0.50407,4.81906,3.79604,0.50339,2.891700e-03,2.725365e-03,1.011026e-04,1.15000,-0.00830,0.50660,3,3.78128
2.3000,4.87201,3.82366,0.50005,4.86877,3.82572,0.51095,4.86948,3.82391,0.51036,2.900344e-03,2.733563e-03,1.008623e-04,1.15200,0.13756,0.51235,3,3.80318
2.3500,4.92203,3.85099,0.50110,4.91904,3.85390,0.51123,4.91974,3.85210,0.51067,2.908984e-03,2.741797e-03,1.006409e-04,1.15250,0.00560,0.51155,4,3.81001
2.4000,4.97202,3.87837,0.50207,4.96790,3.88131,0.51380,4.96876,3.87919,0.51295,2.917559e-03,2.749761e-03,1.004370e-04,1.12050,0.05133,0.50602,4,3.87568
2.4500,5.02198,3.90580,0.50296,5.01824,3.90972,0.50913,5.01916,3.90747,0.50820,2.926226e-03,2.758058e-03,1.002491e-04,1.15600,-0.09331,0.50626,3,3.88323
2.5000,5.07192,3.93327,0.50378,5.06661,3.93672,0.50729,5.06766,3.93423,0.50617,2.934798e-03,2.765926e-03,1.000759e-04,1.10800,-0.03679,0.50161,3,3.88450
2.5500,5.12184,3.96079,0.50453,5.11733,3.96491,0.50058,5.11809,3.96301,0.50008,2.943514e-03,2.774275e-03,9.991639e-05,1.16050,-0.13435,0.51499,3,3.91874
2.6000,5.17173,3.98834,0.50523,5.16602,3.99155,0.50107,5.16647,3.99026,0.50118,2.952128e-03,2.782163e-03,9.976932e-05,1.11000,0.00999,0.51575,3,3.97431
2.6500,5.22161,4.01593,0.50587,5.21590,4.01887,0.50198,5.21631,4.01768,0.50218,2.960815e-03,2.790313e-03,9.963375e-05,1.13750,0.01814,0.50429,4,3.97351
2.7000,5.27147,4.04355,0.50646,5.26581,4.04626,0.50485,5.26598,4.04552,0.50546,2.969509e-03,2.798484e-03,9.950876e-05,1.13850,0.05735,0.51547,3,4.03718
2.7500,5.32131,4.07120,0.50700,5.31594,4.07396,0.49873,5.31597,4.07350,0.49958,2.978220e-03,2.806734e-03,9.939352e-05,1.14550,-0.12230,0.50518,3,4.02150
2.8000,5.37114,4.09887,0.50751,5.36661,4.10156,0.50140,5.36644,4.10151,0.50258,2.986973e-03,2.815064e-03,9.928726e-05,1.15400,0.05336,0.51081,3,4.05970
2.8500,5.42096,4.12658,0.50797,5.41646,4.12889,0.50323,5.41582,4.12975,0.50520,2.995681e-03,2.823247e-03,9.918926e-05,1.13700,0.03648,0.52443,3,4.10349
2.9000,5.47076,4.15430,0.50839,5.46628,4.15632,0.50519,5.46556,4.15734,0.50723,3.004390e-03,2.831445e-03,9.909889e-05,1.13750,0.03938,0.50860,3,4.10692
2.9500,5.52055,4.18205,0.50878,5.51673,4.18422,0.50648,5.51622,4.18481,0.50802,3.013141e-03,2.839801e-03,9.901553e-05,1.15300,0.02575,0.49610,3,4.13969
3.0000,5.57033,4.20981,0.50914,5.56660,4.21188,0.50709,5.56604,4.21256,0.50865,3.021863e-03,2.848045e-03,9.893864e-05,1.14050,0.01215,0.50905,4,4.18171
3.0500,5.62010,4.23759,0.50948,5.61686,4.23980,0.50996,5.61657,4.23997,0.51098,3.030614e-03,2.856387e-03,9.886772e-05,1.15000,0.05735,0.49789,3,4.19377
3.1000,5.66986,4.26539,0.50978,5.66661,4.26763,0.50909,5.66648,4.26747,0.50977,3.039337e-03,2.864643e-03,9.880229e-05,1.14000,-0.01734,0.50157,3,4.20815
