t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
1.3500,3.92162,3.29990,0.41209,3.92267,3.30132,0.40949,3.92293,3.30036,0.40913,2.740621e-03,2.584936e-03,1.117088e-04,1.14950,0.00389,0.40518,2,3.27912
1.4000,3.97377,3.32269,0.41655,3.97523,3.32413,0.41355,3.97549,3.32319,0.41324,2.749123e-03,2.592097e-03,1.105903e-04,1.14600,0.08125,0.41432,2,3.24920
1.4500,4.02583,3.34573,0.42066,4.02777,3.34719,0.41984,4.02803,3.34622,0.41952,2.757642e-03,2.599374e-03,1.095681e-04,1.14750,0.12579,0.41923,2,3.31200
1.5000,4.07780,3.36898,0.42445,4.08034,3.37066,0.42451,4.08062,3.36968,0.42419,2.766173e-03,2.606784e-03,1.086332e-04,1.15150,0.09344,0.42432,3,3.34057
1.5500,4.12969,3.39243,0.42794,4.13032,3.39325,0.42881,4.13062,3.39220,0.42842,2.774646e-03,2.613865e-03,1.077775e-04,1.09700,0.08597,0.42679,2,3.35445
1.6000,4.18151,3.41606,0.43116,4.18109,3.41646,0.43724,4.18149,3.41516,0.43657,2.783151e-03,2.621163e-03,1.069937e-04,1.11650,0.16864,0.43024,2,3.38082
1.6500,4.23326,3.43987,0.43412,4.23287,3.44066,0.43592,4.23335,3.43912,0.43500,2.791686e-03,2.628746e-03,1.062753e-04,1.14300,-0.02647,0.42949,2,3.42787
1.7000,4.28494,3.46383,0.43685,4.28447,3.46470,0.43881,4.28493,3.46324,0.43804,2.800245e-03,2.636344e-03,1.056166e-04,1.13850,0.05788,0.44137,3,3.44035
1.7500,4.33656,3.48793,0.43936,4.33487,3.48835,0.43976,4.33547,3.48654,0.43862,2.808778e-03,2.643794e-03,1.050121e-04,1.11350,0.01891,0.43024,3,3.44789
1.8000,4.38813,3.51217,0.44168,4.38597,3.51239,0.44557,4.38673,3.51019,0.44405,2.817352e-03,2.651417e-03,1.044573e-04,1.12950,0.11616,0.43549,3,3.48189
1.8500,4.43964,3.53653,0.44381,4.43738,3.53695,0.44890,4.43828,3.53440,0.44709,2.825942e-03,2.659176e-03,1.039477e-04,1.13950,0.06674,0.44022,3,3.50225
1.9000,4.49110,3.56099,0.44577,4.48860,3.56162,0.45177,4.48943,3.55926,0.45026,2.834537e-03,2.666959e-03,1.034796e-04,1.13700,0.05727,0.45734,3,3.50747
1.9500,4.54252,3.58556,0.44759,4.53988,3.58650,0.45293,4.54079,3.58398,0.45134,2.843145e-03,2.674808e-03,1.030493e-04,1.14000,0.02337,0.44916,3,3.57722
2.0000,4.59389,3.61023,0.44925,4.59140,3.61158,0.45327,4.59225,3.60922,0.45194,2.851776e-03,2.682742e-03,1.026537e-04,1.14600,0.00670,0.45812,3,3.57882
2.0500,4.64522,3.63498,0.45079,4.64254,3.63648,0.45115,4.64340,3.63409,0.44985,2.860407e-03,2.690634e-03,1.022899e-04,1.13750,-0.04249,0.45063,3,3.62211
2.1000,4.69652,3.65981,0.45221,4.69305,3.66096,0.45422,4.69382,3.65879,0.45323,2.869031e-03,2.698412e-03,1.019551e-04,1.12250,0.06149,0.46042,3,3.65216
2.1500,4.74779,3.68471,0.45351,4.74411,3.68589,0.46056,4.74482,3.68389,0.45978,2.877683e-03,2.706345e-03,1.016471e-04,1.13650,0.12671,0.46496,4,3.62530
2.2000,4.79902,3.70968,0.45471,4.79503,3.71115,0.46169,4.79585,3.70890,0.46070,2.886329e-03,2.714318e-03,1.013636e-04,1.13700,0.02266,0.45562,3,3.68657
2.2500,4.85022,3.73471,0.45582,4.84651,3.73677,0.46107,4.84730,3.73460,0.46022,2.895011e-03,2.722430e-03,1.011026e-04,1.15000,-0.01230,0.46350,2,3.72184
2.3000,4.90140,3.75980,0.45684,4.89810,3.76240,0.46775,4.89887,3.76028,0.46699,2.903710e-03,2.730580e-03,1.008623e-04,1.15200,0.13356,0.46913,3,3.74130
2.3500,4.95255,3.78494,0.45778,4.94954,3.78838,0.46783,4.95030,3.78627,0.46712,2.912404e-03,2.738766e-03,1.006409e-04,1.15250,0.00160,0.46823,3,3.74528
2.4000,5.00368,3.81013,0.45865,4.99956,3.81365,0.47030,5.00047,3.81122,0.46930,2.921045e-03,2.746677e-03,1.004370e-04,1.12100,0.04933,0.46259,3,3.81089
2.4500,5.05478,3.83537,0.45945,5.05109,3.83985,0.46563,5.05206,3.83728,0.46456,2.929761e-03,2.754930e-03,1.002491e-04,1.15600,-0.09331,0.46275,3,3.79830
2.5000,5.10587,3.86064,0.46018,5.10057,3.86471,0.46369,5.10165,3.86190,0.46244,2.938398e-03,2.762733e-03,1.000759e-04,1.10750,-0.03879,0.45801,3,3.81305
2.5500,5.15694,3.88596,0.46086,5.15244,3.89065,0.45688,5.15326,3.88844,0.45625,2.947158e-03,2.771038e-03,9.991639e-05,1.16000,-0.13635,0.47131,3,3.83705
2.6000,5.20799,3.91131,0.46148,5.20223,3.91512,0.45727,5.20277,3.91353,0.45726,2.955833e-03,2.778863e-03,9.976932e-05,1.10950,0.00799,0.47201,3,3.90227
2.6500,5.25903,3.93669,0.46206,5.25326,3.94023,0.45818,5.25376,3.93874,0.45826,2.964570e-03,2.786967e-03,9.963375e-05,1.13750,0.01814,0.46048,4,3.89383
2.7000,5.31005,3.96209,0.46259,5.30434,3.96542,0.46095,5.30462,3.96439,0.46145,2.973314e-03,2.795098e-03,9.950876e-05,1.13900,0.05535,0.47160,4,3.96396
2.7500,5.36106,3.98753,0.46307,5.35563,3.99090,0.45463,5.35579,3.99016,0.45537,2.982071e-03,2.803306e-03,9.939352e-05,1.14550,-0.12630,0.46125,3,3.92577
2.8000,5.41205,4.01299,0.46352,5.40745,4.01622,0.45720,5.40741,4.01591,0.45830,2.990863e-03,2.811593e-03,9.928726e-05,1.15350,0.05136,0.46683,4,3.98686
2.8500,5.46304,4.03848,0.46394,5.45848,4.04133,0.45893,5.45801,4.04197,0.46083,2.999619e-03,2.819737e-03,9.918926e-05,1.13750,0.03448,0.48040,3,4.01096
2.9000,5.51401,4.06398,0.46432,5.50947,4.06653,0.46089,5.50891,4.06734,0.46287,3.008374e-03,2.827893e-03,9.909889e-05,1.13750,0.03938,0.46453,4,4.01721
2.9500,5.56498,4.08951,0.46467,5.56111,4.09217,0.46218,5.56074,4.09254,0.46367,3.017165e-03,2.836212e-03,9.901553e-05,1.15300,0.02575,0.45199,4,4.04157
3.0000,5.61593,4.11505,0.46500,5.61217,4.11760,0.46269,5.61176,4.11809,0.46421,3.025932e-03,2.844420e-03,9.893864e-05,1.14100,0.01015,0.46490,4,4.10546
3.0500,5.66688,4.14061,0.46529,5.66365,4.14328,0.46546,5.66347,4.14325,0.46645,3.034723e-03,2.852731e-03,9.886772e-05,1.15050,0.05535,0.45370,3,4.09038
3.1000,5.71782,4.16619,0.46557,5.71456,4.16885,0.46449,5.71453,4.16851,0.46516,3.043489e-03,2.860941e-03,9.880229e-05,1.13950,-0.01934,0.45736,3,4.10248
3.1500,5.76875,4.19178,0.46582,5.76615,4.19470,0.46356,5.76604,4.19451,0.46433,3.052294e-03,2.869300e-03,9.874193e-05,1.15400,-0.01867,0.46679,3,4.12821
3.2000,5.81968,4.21738,0.46606,5.81783,4.22053,0.46152,5.81736,4.22111,0.46293,3.061109e-03,2.877679e-03,9.868625e-05,1.15550,-0.04072,0.47850,4,4.17949
3.2500,5.87060,4.24299,0.46627,5.86889,4.24593,0.46258,5.86804,4.24730,0.46462,3.069893e-03,2.885909e-03,9.863487e-05,1.14050,0.02116,0.47984,3,4.21159
3.3000,5.92152,4.26862,0.46647,5.92032,4.27158,0.45706,5.91942,4.27306,0.45911,3.078699e-03,2.894238e-03,9.858747e-05,1.14950,-0.11038,0.45931,3,4.22106
3.3500,5.97243,4.29425,0.46665,5.97120,4.29660,0.45522,5.96997,4.29878,0.45778,3.087480e-03,2.902405e-03,9.854373e-05,1.13400,-0.03677,0.47029,4,4.28077
3.4000,6.02333,4.31989,0.46682,6.02219,4.32156,0.45983,6.02095,4.32377,0.46230,3.096268e-03,2.910589e-03,9.850336e-05,1.13550,0.09221,0.46012,3,4.28625
3.4500,6.07423,4.34555,0.46697,6.07421,4.34732,0.46164,6.07273,4.35002,0.46442,3.105112e-03,2.919045e-03,9.846612e-05,1.16100,0.03622,0.47199,3,4.30963
3.5000,6.12513,4.37121,0.46712,6.12446,4.37232,0.45767,6.12264,4.37573,0.46094,3.113862e-03,2.927111e-03,9.843175e-05,1.12250,-0.07938,0.47284,3,4.31642
3.5500,6.17602,4.39688,0.46725,6.17587,4.39764,0.45682,6.17400,4.40114,0.46002,3.122676e-03,2.935417e-03,9.840004e-05,1.14600,-0.01715,0.45839,5,4.38600
3.6000,6.22691,4.42255,0.46737,6.22758,4.42306,0.45744,6.22552,4.42695,0.46084,3.131509e-03,2.943793e-03,9.837077e-05,1.15250,0.01254,0.46550,6,4.38688
