estimator,position_rmse_m,position_mae_m,heading_rmse_rad,heading_mae_rad,final_position_error_m,final_heading_error_rad
dead_reckoning,2.05023,1.47781,0.13625,0.10702,4.85643,0.28780
ekf,0.02689,0.02367,0.01155,0.00899,0.01815,0.00652
