t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
1.3500,3.91211,3.32395,0.45006,3.91645,3.32782,0.43693,3.91569,3.32908,0.44261,3.969822e-03,2.854448e-03,4.818461e-04,1.18350,-0.25657,0.41549,7,3.19158
1.4000,3.96334,3.34870,0.45505,3.96938,3.35254,0.44115,3.96852,3.35402,0.44668,4.019990e-03,2.886432e-03,4.823961e-04,1.16850,0.08427,0.44387,10,2.96281
1.4500,4.01445,3.37371,0.45965,4.02244,3.37759,0.45519,4.02154,3.37912,0.46033,4.070231e-03,2.919196e-03,4.828942e-04,1.17350,0.28095,0.45248,13,3.20477
1.5000,4.06547,3.39896,0.46388,4.07593,3.40377,0.46265,4.07494,3.40544,0.46757,4.120309e-03,2.953317e-03,4.833454e-04,1.19100,0.14920,0.46321,10,3.24930
1.5500,4.11638,3.42443,0.46778,4.11940,3.42545,0.46905,4.11846,3.42696,0.47338,4.169063e-03,2.981978e-03,4.837540e-04,0.97150,0.12787,0.46203,7,3.22992
1.6000,4.16721,3.45011,0.47137,4.16618,3.44916,0.49371,4.16555,3.44989,0.49653,4.218161e-03,3.013130e-03,4.841240e-04,1.04900,0.49320,0.46680,7,3.17368
1.6500,4.21795,3.47597,0.47468,4.21695,3.47648,0.48009,4.21668,3.47633,0.48139,4.267267e-03,3.048145e-03,4.844590e-04,1.15300,-0.27233,0.45154,9,3.34961
1.7000,4.26861,3.50201,0.47773,4.26735,3.50273,0.48456,4.26684,3.50312,0.48657,4.316911e-03,3.082527e-03,4.847623e-04,1.13650,0.08942,0.50033,17,3.32127
1.7500,4.31920,3.52820,0.48054,4.31318,3.52686,0.48079,4.31333,3.52573,0.48047,4.365818e-03,3.114300e-03,4.850370e-04,1.03600,-0.07544,0.43494,10,3.33268
1.8000,4.36971,3.55453,0.48312,4.36188,3.55226,0.49683,4.36272,3.54960,0.49436,4.415440e-03,3.147914e-03,4.852856e-04,1.09850,0.32080,0.45219,10,3.34425
1.8500,4.42017,3.58100,0.48551,4.41201,3.57944,0.50351,4.41344,3.57549,0.49942,4.465032e-03,3.183390e-03,4.855107e-04,1.14050,0.13369,0.46758,10,3.41387
1.9000,4.47056,3.60759,0.48770,4.46143,3.60666,0.50893,4.46232,3.60396,0.50682,4.514487e-03,3.218827e-03,4.857145e-04,1.12850,0.10837,0.54550,11,3.32400
1.9500,4.52090,3.63429,0.48972,4.51130,3.63449,0.50777,4.51237,3.63138,0.50526,4.563925e-03,3.255060e-03,4.858989e-04,1.14200,-0.02317,0.49757,9,3.52053
2.0000,4.57119,3.66109,0.49159,4.56218,3.66280,0.50415,4.56273,3.66082,0.50330,4.613703e-03,3.292131e-03,4.860659e-04,1.16450,-0.07249,0.53591,7,3.50050
2.0500,4.62143,3.68799,0.49330,4.61165,3.69009,0.49043,4.61217,3.68818,0.48972,4.663348e-03,3.328189e-03,4.862170e-04,1.13000,-0.27445,0.49248,8,3.48882
2.1000,4.67162,3.71498,0.49488,4.65891,3.71532,0.49880,4.65877,3.71480,0.49994,4.712971e-03,3.362057e-03,4.863537e-04,1.07150,0.16743,0.53597,7,3.65054
2.1500,4.72177,3.74205,0.49634,4.70837,3.74227,0.52068,4.70762,3.74301,0.52336,4.762818e-03,3.398117e-03,4.864775e-04,1.12650,0.43755,0.55358,11,3.42263
2.2000,4.77189,3.76919,0.49768,4.75730,3.77033,0.52214,4.75689,3.77033,0.52372,4.812049e-03,3.434956e-03,4.865896e-04,1.12800,0.02932,0.50220,11,3.59436
2.2500,4.82197,3.79639,0.49892,4.80848,3.79978,0.51607,4.80765,3.80063,0.51861,4.861856e-03,3.473678e-03,4.866910e-04,1.18100,-0.12152,0.53732,9,3.69972
2.3000,4.87201,3.82366,0.50005,4.86016,3.82910,0.53996,4.85889,3.83084,0.54342,4.911973e-03,3.512647e-03,4.867827e-04,1.18850,0.47782,0.56152,9,3.65435
2.3500,4.92203,3.85099,0.50110,4.91118,3.85968,0.53836,4.90956,3.86205,0.54238,4.961475e-03,3.552389e-03,4.868658e-04,1.18950,-0.03201,0.55335,10,3.64498
2.4000,4.97202,3.87837,0.50207,4.95685,3.88695,0.54549,4.95569,3.88840,0.54817,5.009775e-03,3.587870e-03,4.869409e-04,1.06400,0.14263,0.52180,10,3.73196
2.4500,5.02198,3.90580,0.50296,5.00834,3.91820,0.52366,5.00724,3.91951,0.52600,5.059461e-03,3.628379e-03,4.870090e-04,1.20450,-0.43654,0.51947,8,3.64872
2.5000,5.07192,3.93327,0.50378,5.05213,3.94349,0.51356,5.05146,3.94397,0.51479,5.107795e-03,3.661630e-03,4.870705e-04,1.01150,-0.20195,0.49292,10,3.62599
2.5500,5.12184,3.96079,0.50453,5.10531,3.97348,0.48448,5.10308,3.97694,0.48916,5.158678e-03,3.702030e-03,4.871262e-04,1.22100,-0.58174,0.55681,11,3.71226
